reports, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
should, p_yes: 0.0009738601823708206, p_no: 0.0016850961538461538
dad, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
built, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
share, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
guard, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
irresponsible, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
about, p_yes: 0.004134954407294833, p_no: 0.0026466346153846154
round, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
donating, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
he, p_yes: 0.003770212765957447, p_no: 0.001204326923076923
dies, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
gets, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
allow, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
else, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
34, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
platforms, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
respiratory, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
attendee, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
during, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
conspiracy, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
accountability, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
black, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
cure, p_yes: 0.0002443768996960486, p_no: 0.0009639423076923077
ain’t, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
spent, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
road, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
hand, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
resign, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
proper, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
kits, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
etc, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
govt, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
racist, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
youâd, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
rick, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
why, p_yes: 0.0008522796352583587, p_no: 0.0021658653846153846
bunch, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
telling, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
countries, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
