#coronavirus,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
door, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
into, p_yes: 0.0010547824830873678, p_no: 3.519986483251904e-06, c_yes: 7, c_no: 0
following, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
said:, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
1%, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
guys, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
round, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
#coronavirus?, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
strange, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
critical, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
france, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
before, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
nasty, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
been, p_yes: 0.0022585285408190285, p_no: 0.001763513228109204, c_yes: 15, c_no: 5
actual, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
one, p_yes: 0.0019575920263861135, p_no: 0.0021155118764343943, c_yes: 13, c_no: 6
pass, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
either, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
🇺🇸, p_yes: 1.5046825721645762e-06, p_no: 0.001763513228109204, c_yes: 0, c_no: 5
serious, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
among, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
best, p_yes: 0.00030244119700507976, p_no: 0.0014115145797840135, c_yes: 2, c_no: 4
much, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
60, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
“hoax”, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
their, p_yes: 0.0021080602836025713, p_no: 0.004579502414710728, c_yes: 14, c_no: 13
developed, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
note, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
unacceptable., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
situation, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
him., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
weeks., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
exposed, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
when, p_yes: 0.0012052507403038256, p_no: 0.004931501063035918, c_yes: 8, c_no: 14
millions, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
big, p_yes: 0.000603377711437995, p_no: 0.0014115145797840135, c_yes: 4, c_no: 4
huge, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
companies., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
home, p_yes: 0.0010547824830873678, p_no: 0.00035551863480844234, c_yes: 7, c_no: 1
60s., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
virus, p_yes: 0.006170703228446927, p_no: 0.008451487546287823, c_yes: 41, c_no: 24
increase, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
start., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
am, p_yes: 0.0007538459686544526, p_no: 0.0007075172831336327, c_yes: 5, c_no: 2
kit, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
cold, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
racism, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
allah,, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
clean, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
38, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
wants, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
light, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
fake, p_yes: 0.003311806341334232, p_no: 0.0024675105247595848, c_yes: 22, c_no: 7
party., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
lot, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
daily, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
thread:, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
details, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
we, p_yes: 0.007073512771745672, p_no: 0.007043492952987061, c_yes: 47, c_no: 20
7., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
evidence, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
spent, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
fewer, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
“what, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
got, p_yes: 0.0009043142258709102, p_no: 0.001059515931458823, c_yes: 6, c_no: 3
alert‼️‼️‼️, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
using, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
coronavirus., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
is, p_yes: 0.020766124178443313, p_no: 0.021827436182645057, c_yes: 138, c_no: 62
history, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
campaign, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
put, p_yes: 0.0012052507403038256, p_no: 0.0014115145797840135, c_yes: 8, c_no: 4
learn, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
send, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
