#whatsapp, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
minimizing, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
authentic, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
q4, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
parliament:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
history, p_yes: 0.00045126506139343, p_no: 0.000266904149698874, c_yes: 4, c_no: 1
djt, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
hi., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
dickhead, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
reporter's, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
chart, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
empathy, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
approach, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
systems,”, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
craze, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
botched, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
early, p_yes: 0.0005637999894217168, p_no: 2.6426153435532076e-06, c_yes: 5, c_no: 0
anxiety, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
guy?, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
actually,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
damage, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
2, p_yes: 0.001013939701534864, p_no: 0.0005311656840541947, c_yes: 9, c_no: 2
nobody, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
contained.', p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
initially, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
celia, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
skeptical, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
period, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
continued, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
@nygovcuomo!, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
people,, p_yes: 0.0006763349174500036, p_no: 2.6426153435532076e-06, c_yes: 6, c_no: 0
israel's, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
48hrs, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
milan, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
belong, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
showing, p_yes: 0.00011366027730856965, p_no: 0.0007954272184095154, c_yes: 1, c_no: 3
say, p_yes: 0.00045126506139343, p_no: 0.001323950287120157, c_yes: 4, c_no: 5
wonât, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
filled, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
you’re, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
new, p_yes: 0.002026754053789445, p_no: 0.0005311656840541947, c_yes: 18, c_no: 2
acquired, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
😭😭😭😭😭😭😭😭, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
hasnât, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
cuomo, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
@secpompeo, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
city., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
treating, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
flintstones, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
reliable, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
jai, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
corona?”, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
woman’s, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
scare, p_yes: 0.00033873013336514323, p_no: 0.000266904149698874, c_yes: 3, c_no: 1
w/out, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
josh, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
tested?, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
source, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
it., p_yes: 0.0006763349174500036, p_no: 0.0010596887527648362, c_yes: 6, c_no: 4
paid, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
deadlier, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
people!, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
refers, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
tribute, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
initiatives., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
'not, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
coffin, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
advised, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
on., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
join, p_yes: 0.00011366027730856965, p_no: 0.0005311656840541947, c_yes: 1, c_no: 2
⁦@who⁩, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
justice, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
#covid_19, p_yes: 0.00045126506139343, p_no: 0.0005311656840541947, c_yes: 4, c_no: 2
29., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
times, p_yes: 0.00022619520533685643, p_no: 0.0010596887527648362, c_yes: 2, c_no: 4
lit, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
game, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#ìì, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
gen, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
involved, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
circling, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
truly, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
processing, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
folks, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/ir50k21fbd, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
estimates, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
too., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
actively, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#makkah, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
report, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
charge, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
disaster., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
—the, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
offended, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
france:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
across, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
amount, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
juice, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
think?, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/mbodtqfhj8, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/sjrt5ndveu, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
scandal,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
it,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
ta, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
postpone, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
original, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
bunch, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
230k, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/fhhr2ktymh, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
follow, p_yes: 0.00033873013336514323, p_no: 0.001323950287120157, c_yes: 3, c_no: 5
grades, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
traded, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
160k, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#fakenewsmedia, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#covid19.https://t.co/kkprjkwait, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
morning,, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
falsely, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
parking, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
monday, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mcdonalds, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/lxxeuieieh, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
virus,, p_yes: 0.00022619520533685643, p_no: 0.0007954272184095154, c_yes: 2, c_no: 3
over.<link>, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
whether, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
rudy, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
finest, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
up,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
facts, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
38, p_yes: 0.00045126506139343, p_no: 2.6426153435532076e-06, c_yes: 4, c_no: 0
incl, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
theory, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
movie, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
standard, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
beginning, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
cause, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
every, p_yes: 0.0006763349174500036, p_no: 0.001323950287120157, c_yes: 6, c_no: 5
300.000, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
four, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
circulating, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
https://t.co/8dizfxe9vh, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
ð, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
come, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
present, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
clinic, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
--, p_yes: 0.00022619520533685643, p_no: 0.0005311656840541947, c_yes: 2, c_no: 2
râs, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
whats, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
